"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"PDO.W","Peridot Acquisition Corp II WT [Pdot/W]","1.0400","0.9100","0.9200","16,022","0.0100","","1.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PDOT","Peridot Acquisition Corp II Cl A","9.770","9.740","9.760","95,900","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PDS","Precision Drilling Corp","34.11","32.52","32.59","36,891","-1.68","","4.90","Energy","Oil & Gas Production","N/A","0.39","N/A","N/A","0.43","0.74","202.95M","293.24M","10.05B","15.60 - 50.42"
"PDT","John Hancock Premium Dividend Fund","17.44","17.30","17.36","58,107","0.01","","0.06","Finance","Closed-End Fund - Debt","N/A","N/A","2.13","N/A","N/A","N/A","N/A","N/A","N/A","13.46 - 17.69"
"PEAK","Healthpeak Properties Inc","34.60","33.54","34.42","2,724,271","0.63","","1.86","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","28.15 - 37.69"
"PEB","Pebblebrook Hotel Trust","21.66","21.01","21.04","1,018,652","-0.88","","4.01","Consumer Services","Real Estate Investment Trusts","129.78","0.45","0.28","4.28","1.62","3.07","242.63M","68.93M","1.51B","17.56 - 26.45"
"PEB-E","Pebblebrook Hotel TR [Peb/Pe]","25.15","24.80","25.07","8,330","0.27","","1.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.25 - 25.75"
"PEB-F","Pebblebrook Hotel TR [Peb/Pf]","25.02","24.92","25.02","1,557","0.20","","0.81","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.10 - 26.04"
"PEB-G","Pebblebrook Hotel Trust","25.48","25.03","25.20","15,469","-0.14","","0.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PEB-H","Pebblebrook Hotel Trust","24.62","24.45","24.49","19,003","-0.10","","0.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PEG","Public Service Enterprise Group Inc","65.62","63.59","65.21","1,852,502","1.41","","2.21","Public Utilities","Power Generation","55.61","12.71","0.89","3.48","1.93","2.7","3.60B","505.96M","32.28B","53.77 - 65.33"
"PEI","Pennsylvania Real Estate Investment","1.120","1.020","1.050","826,048","-0.020","","1.87","Consumer Services","Real Estate Investment Trusts","N/A","N/A","N/A","8.43","1.09","1.77","217.76M","69.83M","74.71M","0.96 - 3.47"
"PEI-B","Pennsylvania Rl Estate Invt TR [Pei/Pb]","9.290","7.180","8.360","48,208","0.320","","3.98","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.00 - 14.75"
"PEI-C","Pennsylvania Rl Estate Invt TR [Pei/Pc]","9.990","7.400","9.270","78,952","1.180","","14.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.04 - 14.93"
"PEI-D","Pennsylvania Rl Estate Invt TR [Pei/Pd]","8.270","6.990","7.640","69,069","0.310","","4.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.11 - 14.41"
"PEN","Penumbra Inc","254.2","243.2","252.7","222,755","7.8","","3.16","","","679.39","N/A","0.15","N/A","8.79","11.15","N/A","33.81M","8.28B","163.49 - 320.00"
"PEO","Adams Natural Resources Fund Inc","16.63","16.19","16.19","37,984","-0.47","","2.82","Finance","Closed-End Fund - Equity","N/A","N/A","N/A","N/A","0.9","33.27","N/A","28.55M","475.66M","11.16 - 17.69"
"PFD","Flaherty & Crumrine Preferred Inc","17.39","17.20","17.30","23,481","0.04","","0.23","Finance","Closed-End Fund - Debt","N/A","N/A","0.82","N/A","N/A","N/A","N/A","N/A","N/A","15.28 - 20.88"
"PFE","Pfizer Inc","55.73","53.44","55.22","50,503,961","2.44","","4.62","Consumer Durables","Major Pharmaceuticals","26.04","2.4","1.37","3.58","3.64","4.06","20.24B","5.95B","313.91B","33.36 - 55.70"
"PFGC","Performance Food Group Company","45.48","42.74","43.06","1,793,374","-2.66","","5.82","","","29.95","1.26","0.93","N/A","3.04","0.17","342.30M","104.13M","4.76B","38.82 - 59.89"
"PFH","Prudential Financial Inc 4.125% Junior","25.93","25.87","25.90","44,150","-0.01","","0.04","Finance","Finance: Consumer Services","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.51 - 26.49"
"PFL","Pimco Income Strategy Fund","10.82","10.67","10.73","173,579","-0.12","","1.11","Finance","Closed-End Fund - Debt","N/A","N/A","1.97","N/A","N/A","N/A","N/A","N/A","N/A","10.55 - 13.30"
"PFN","Pimco Income Strategy Fund II","9.480","9.370","9.410","312,479","-0.100","","1.05","Finance","Closed-End Fund - Equity","N/A","N/A","1.68","N/A","N/A","N/A","N/A","N/A","N/A","9.26 - 11.45"
"PFO","Flaherty & Crumrine Preferred Fund","12.74","12.50","12.56","22,382","-0.05","","0.40","Finance","Closed-End Fund - Debt","N/A","N/A","0.69","N/A","N/A","N/A","N/A","N/A","N/A","11.92 - 14.12"
"PFS","Provident Financial Services","23.61","23.27","23.35","354,219","-0.25","","1.06","Finance","Savings Institutions","19.56","1.84","1.45","2.92","1.38","5.55","N/A","64.53M","1.52B","17.05 - 25.98"
"PFSI","Pennymac Financial Services IN","69.36","68.09","68.57","376,214","-0.38","","0.55","","","6.32","4.67","2.96","N/A","1.1","0.34","N/A","23.51M","1.62B","55.11 - 70.99"
"PG","Procter & Gamble Company","158.3","154.9","157.7","6,906,287","2.2","","1.43","Basic Industries","Package Goods/Cosmetics","15.56","3.18","5.59","3.15","4.12","3.43","17.51B","2.55B","396.42B","121.54 - 154.19"
"PGP","Pimco Global Stocksplus & Income","10.63","10.45","10.47","27,179","-0.15","","1.41","Finance","Closed-End Fund - Equity","N/A","N/A","1.25","N/A","N/A","N/A","N/A","N/A","N/A","9.60 - 11.56"
"PGR","Progressive Corp","97.29","94.63","96.69","2,952,917","1.63","","1.71","Finance","Property-Casualty Insurers","20.81","0.91","2.35","1.39","3.18","1.14","2.37B","580.98M","55.23B","84.89 - 107.59"
"PGRE","Paramount Group Inc","8.550","8.280","8.430","1,518,974","-0.210","","2.43","","","37.7","0.5","0.42","2.39","0.91","5.36","384.89M","238.84M","2.06B","7.87 - 11.65"
"PGS.U","Pegasus Digital Acquisition Corp","10.12","10.05","10.05","5,778","0.05","","0.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PGTI","Pgt Inc","21.66","21.05","21.10","216,555","-0.70","","3.21","","","25.49","1.79","0.56","N/A","4.76","1.43","77.40M","49.60M","1.08B","18.79 - 28.11"
"PGZ","Principal Real Estate Income F","15.47","15.15","15.15","27,174","-0.43","","2.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.55 - 16.20"
"PH","Parker-Hannifin Corp","320.5","313.9","314.1","602,948","-4.8","","1.51","Capital Goods","Metal Fabrications","25.36","1.42","7.25","1.43","4.68","2.05","1.80B","133.13M","42.46B","247.41 - 334.98"
"PHD","Pioneer Floating Rate Fund","11.98","11.93","11.96","17,605","0.00","","0.00","","","N/A","N/A","0.92","N/A","N/A","N/A","N/A","N/A","N/A","10.11 - 12.21"
"PHG","Koninklijke Philips Electronics ADR","34.17","33.83","33.89","1,423,719","-0.43","","1.25","Energy","Consumer Electronics/Appliances","21.52","N/A","1.89","2.12","2.62","1.29","3.81B","937.07M","32.16B","33.60 - 61.23"
"PHI","Philippine Long Distance Telephone ADR","34.96","33.86","33.94","31,642","-0.65","","1.88","Public Utilities","Telecommunications Equipment","14.84","N/A","2.18","4.66","2.9","2.23","1.26B","216.01M","7.47B","23.71 - 35.49"
"PHK","Pimco High Income Fund","6.130","6.030","6.060","401,225","-0.090","","1.46","Finance","Closed-End Fund - Debt","N/A","N/A","6.08","N/A","N/A","N/A","N/A","N/A","N/A","5.96 - 7.18"
"PHM","Pultegroup","56.73","54.65","54.99","1,671,299","-1.23","","2.19","Capital Goods","Homebuilding","16.64","0.71","1.81","1.29","2.03","1.11","1.11B","301.63M","16.96B","39.92 - 63.90"
"PHR","Phreesia Inc","43.10","40.44","42.20","514,754","1.37","","3.36","Finance","Life Insurance","27.65","N/A","0.942","8.64","0.31","0.14","982.70M","463.99M","18.94B","42.01 - 81.59"
"PHT","Pioneer High Income Fund","9.360","9.220","9.260","126,561","-0.030","","0.32","Finance","Closed-End Fund - Debt","N/A","N/A","2.33","N/A","N/A","N/A","N/A","N/A","N/A","8.78 - 11.22"
"PHX","Phx Minerals Inc","2.810","2.460","2.580","482,407","-0.070","","2.64","Energy","Oil & Gas Production","126.7","N/A","0.19","0.69","3.31","9.67","21.87M","16.67M","44.18M","1.96 - 4.37"
"PHY.U","Pyrophyte Acquisition Corp [Phyt.U]","10.15","10.15","10.15","200","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PIA.U","Prime Impact Acquisition Cl A [Piai.U]","10.06","10.06","10.06","200","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.87 - 11.55"
"PIA.W","Prime Impact Acquisition I [Piai/W]","0.6900","0.6300","0.6900","11,740","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.62 - 2.00"
"PIAI","Prime Impact Acquisition I Cl A","9.840","9.820","9.840","13,007","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.60 - 10.98"
"PIC.U","Pivotal Invt Corp III [Picc.U]","9.970","9.910","9.970","1,318","0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.38 - 19.74"
"PIC.W","Pivotal Invt Corp III WT [Picc/W]","0.9000","0.8600","0.8700","13,300","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.40 - 5.60"
"PICC","Pivotal Investment Corp III Cl A","9.780","9.750","9.760","14,048","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PII","Polaris Industries Inc","110.3","105.5","106.9","644,870","0.5","","0.43","Capital Goods","Industrial Specialties","49.73","1.41","2.39","1.91","8.89","1.52","526.01M","62.57M","6.66B","92.58 - 147.73"
"PIM","Putnam Master Intermediate Income","3.910","3.900","3.910","55,676","0.000","","0.00","Finance","Closed-End Fund - Debt","N/A","N/A","0.62","N/A","N/A","N/A","N/A","N/A","N/A","3.88 - 4.47"
"PINE","Alpine Income Property Trust Inc","19.30","19.00","19.03","78,303","0.03","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.77 - 20.75"
"PING","Ping Identity Holding Corp","23.61","22.97","23.42","767,534","0.22","","0.95","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.70 - 37.23"
"PINS","Pinterest Inc","37.35","35.01","36.05","10,116,627","-1.21","","3.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","34.56 - 89.90"
"PIP.U","Pine Island Acquisition Corp [Pipp.U]","10.44","10.39","10.44","1,536","-0.11","","1.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.83 - 16.07"
"PIP.W","Pine Island Acquisition Corp [Pipp/W]","1.240","1.140","1.140","34,941","-0.070","","5.79","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.71 - 4.00"
"PIPP","Pine Island Acquisition Corp Cl A","10.10","9.96","10.02","168,282","-0.08","","0.79","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.68 - 14.94"
"PIPR","Piper Jaffray Companies","167.8","162.7","165.7","90,610","-0.5","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","90.84 - 193.60"
"PJT","Pjt Partners Inc Cl A","71.64","70.07","70.11","160,126","-1.21","","1.70","Finance","Finance: Consumer Services","N/A","1.59","N/A","0.51","N/A","1.39","N/A","18.52M","1.32B","64.81 - 89.50"
"PK","Park Hotels & Resorts Inc","18.17","17.50","17.73","4,409,970","-0.63","","3.43","","","2.44","0.53","11.67","6.02","1.01","2.21","732.00M","214.94M","3.95B","15.77 - 24.67"
"PKE","Park Electrochemical Corp","13.41","13.04","13.33","59,167","-0.06","","0.45","Technology","Electrical Products","61.29","2.36","0.31","2.14","2.09","3.41","12.43M","20.24M","270.97M","12.73 - 16.20"
"PKG","Packaging Corp of America","131.1","128.2","130.5","635,266","2.4","","1.83","Consumer Durables","Containers/Packaging","22.53","1.87","5.19","2.13","5.82","1.83","1.22B","93.65M","12.00B","127.06 - 156.54"
"PKI","Perkinelmer","189.3","187.1","187.4","856,912","-0.4","","0.19","Capital Goods","Biotechnology: Laboratory Analytical Instruments","21.93","2.47","3.32","0.39","3.26","3.71","416.05M","110.15M","20.68B","119.95 - 192.63"
"PKO","Pimco Income Opportunity Fund","23.91","23.70","23.77","50,700","-0.09","","0.38","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.65 - 27.98"
"PKX","Posco ADR","60.93","59.90","60.18","138,784","0.11","","0.18","Basic Industries","Steel/Iron Ore","13.41","9.5","5.62","2.86","0.61","0.46","6.18B","319.98M","19.22B","54.40 - 92.19"
"PL","Planet Labs Pbc","9.910","8.890","8.900","3,002,651","-0.570","","6.02","Finance","Life Insurance","13.23","1.53","5.289","1.32","1.17","1.31","568.80M","79.29M","750.83M","48.68 - 70.03"
"PL.W","Planet Labs Pbc WT","3.120","2.320","2.550","705,081","-0.050","","1.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PLAN","Anaplan Inc","46.36","44.15","45.65","2,155,681","-0.21","","0.46","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.92 - 86.17"
"PLD","Prologis Inc","161.8","157.3","161.1","1,843,504","2.7","","1.69","Consumer Services","Real Estate Investment Trusts","19.39","N/A","3.34","2.74","2.29","12.61","1.89B","554.18M","88.16B","93.08 - 161.11"
"PLNT","Planet Fitness","87.38","84.84","85.43","665,484","-2.48","","2.82","","","44.66","1.84","0.58","N/A","N/A","5.53","164.50M","85.71M","7.54B","67.89 - 99.60"
"PLOW","Douglas Dynamics","40.17","39.46","39.58","59,928","-0.89","","2.20","Capital Goods","Construction/Ag Equipment/Trucks","33.73","1.87","1.26","2.29","4.27","2.04","86.94M","22.59M","914.22M","34.99 - 51.44"
"PLTR","Palantir Technologies Inc Cl A","19.08","18.17","18.40","38,062,337","-0.54","","2.85","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","17.06 - 45.00"
"PLYM","Plymouth Industrial REIT Inc","29.81","29.33","29.57","237,859","-0.06","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.22 - 30.90"
"PM","Philip Morris International Inc","92.31","89.73","91.67","5,807,796","1.63","","1.81","Consumer Non-Durables","Farming/Seeds/Milling","23.47","2.3","4.51","4","N/A","6.17","11.50B","1.55B","139.84B","78.34 - 106.51"
"PMF","Pimco Muni","14.90","14.78","14.86","24,111","0.02","","0.13","Finance","Closed-End Fund - Debt","N/A","N/A","0.15","N/A","N/A","N/A","N/A","N/A","N/A","13.48 - 15.50"
"PML","Pimco Muni II","14.84","14.64","14.78","72,168","0.07","","0.48","Finance","Closed-End Fund - Debt","N/A","N/A","0.19","N/A","N/A","N/A","N/A","N/A","N/A","13.55 - 15.35"
"PMM","Putnam Managed Muni Income Trust","8.580","8.440","8.580","98,086","0.170","","2.02","Finance","Closed-End Fund - Debt","N/A","N/A","0.57","N/A","N/A","N/A","N/A","N/A","N/A","7.80 - 8.92"
"PMO","Putnam Muni Opportunities Trust","13.94","13.82","13.94","49,132","0.12","","0.87","Finance","Closed-End Fund - Debt","N/A","N/A","0.93","N/A","N/A","N/A","N/A","N/A","N/A","13.10 - 14.86"
"PMT","Pennymac Mortgage Investment Trust","18.15","17.89","17.89","1,162,677","-0.25","","1.38","Consumer Services","Real Estate Investment Trusts","9.64","2.08","1.67","11.74","0.74","3.36","N/A","67.00M","1.22B","16.86 - 21.53"
"PMT-A","Pennymac Mtg Invt TR [Pmt/Pa]","25.90","25.81","25.84","6,411","0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.55 - 27.03"
"PMT-B","Pennymac Mtg Invt TR [Pmt/Pb]","25.83","25.64","25.76","2,287","0.11","","0.43","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.09 - 27.58"
"PMT-C","Penny Mac Mortgage Investment Trust","25.07","24.89","25.07","15,463","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PMV.U","Pmv Consumer Acquisition Corp WT","10.15","10.15","10.15","100","-0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.97 - 11.70"
"PMV.W","Pmv Consumer Acquisition Corp WT","0.7801","0.7000","0.7000","6,100","-0.1200","","14.63","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.51 - 1.94"
"PMVC","Pmv Consumer Acquisition Corp Cl A","9.850","9.830","9.850","1,207","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.63 - 10.60"
"PMX","Pimco Muni Income Fund III","12.82","12.71","12.77","30,495","-0.05","","0.39","Finance","Closed-End Fund - Foreign","N/A","N/A","0.28","N/A","N/A","N/A","N/A","N/A","N/A","11.46 - 13.30"
"PNC","PNC Bank","200.2","195.9","196.2","1,832,049","-5.4","","2.65","Finance","Major Banks","16.9","1.59","8.18","2.18","1.41","4.22","N/A","476.01M","95.94B","139.30 - 217.60"
"PNC-P","PNC Financial Services Group [Pnc/Pp]","25.63","25.58","25.62","227,263","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.49 - 27.10"
"PNF","Pimco New York Muni","12.05","11.85","11.89","16,441","-0.11","","0.92","Finance","Closed-End Fund - Debt","N/A","N/A","0.2","N/A","N/A","N/A","N/A","N/A","N/A","11.40 - 13.41"
"PNI","Pimco New York Muni II","11.29","11.19","11.22","13,927","-0.03","","0.27","Finance","Closed-End Fund - Foreign","N/A","N/A","0.09","N/A","N/A","N/A","N/A","N/A","N/A","10.48 - 12.19"
"PNM","PNM Resources Inc","46.06","45.06","45.29","1,310,677","-0.27","","0.59","Public Utilities","Electric Utilities: Central","24.86","3.8","1.74","2.3","1.93","2.34","569.83M","79.54M","3.62B","43.91 - 50.11"
"PNR","Pentair Ltd","75.85","73.56","73.73","1,097,554","-1.49","","1.98","Technology","Industrial Machinery/Components","20.64","1.81","3.4","1.94","2.63","2.66","934.30M","181.52M","13.65B","50.54 - 80.40"
"PNT.U","Pontem Corp Unit [Pntm.U]","10.06","10.03","10.04","15,400","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PNT.W","Pontem Corp WT [Pntm/W]","0.8600","0.7900","0.8100","72,719","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PNTM","Pontem Corp Cl A","9.790","9.770","9.780","18,890","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PNW","Pinnacle West Capital Corp","67.48","66.13","67.00","715,064","0.72","","1.09","Public Utilities","Electric Utilities: Central","19.64","3.78","4.53","3.15","2.02","2.79","1.53B","111.57M","7.40B","62.78 - 88.54"
"POLY","Plantronics","28.55","27.88","28.26","344,261","-0.39","","1.36","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PON.U","Angel Pond Holdings Corp [Pond.U]","10.05","10.05","10.05","100","0.10","","1.01","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PON.W","Angel Pond Holdings Corp WT [Pond/W]","0.8200","0.8000","0.8100","25,100","-0.0300","","3.57","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"POND","Angel Pond Holdings Corp Cl A","9.700","9.700","9.700","294","-0.040","","0.41","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"POR","Portland General Electric Company","51.46","50.41","50.95","691,319","0.18","","0.35","Public Utilities","Electric Utilities: Central","21.28","5.12","2.24","2.96","1.71","2.06","687.00M","89.15M","4.53B","40.14 - 52.47"
"POST","Post Holdings Inc","103.4","101.5","102.4","473,050","0.3","","0.28","","","N/A","1.79","N/A","N/A","1.98","1.08","891.40M","66.17M","6.76B","91.80 - 117.91"
"PPG","PPG Industries","164.6","162.1","162.8","679,006","-0.6","","0.36","Basic Industries","Paints/Coatings","31.03","2.09","3.8","1.52","5.41","2.05","2.56B","256.51M","41.91B","132.10 - 182.97"
"PPL","PPL Corp","28.99","28.57","28.88","3,982,732","0.15","","0.52","Public Utilities","Electric Utilities: Central","15.8","N/A","2.39","4.19","2.46","3.49","4.04B","685.83M","19.70B","26.15 - 30.72"
"PPT","Putnam Premier Income Trust","4.360","4.340","4.340","170,645","-0.010","","0.23","Finance","Closed-End Fund - Debt","N/A","N/A","0.65","N/A","N/A","N/A","N/A","N/A","N/A","4.31 - 4.89"
"PRA","Pro-Assurance Corp","24.45","23.70","24.16","217,295","0.18","","0.75","Finance","Property-Casualty Insurers","20.11","1.02","2.8","2.19","1.64","3.39","212.38M","53.46M","1.28B","17.27 - 29.15"
"PRB.U","Parabellum Acquisition Corp [Prbm.U]","10.35","10.15","10.15","5,524","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRB.W","Parabellum Acquisition Corp WT [Prbm/W]","0.5000","0.4700","0.4700","13,854","-0.0200","","4.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRBM","Parabellum Acquisition Corp Cl A","9.750","9.750","9.750","360","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRE-J","Partnerre Ltd","26.27","26.21","26.27","1,812","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRG","Prog Hldgs Inc","45.28","43.10","45.27","1,187,673","1.86","","4.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.94 - 60.50"
"PRGO","Perrigo Company","36.41","35.91","36.13","1,245,587","-0.40","","1.09","","","N/A","2.33","N/A","0.74","1.96","2.37","1.10B","142.63M","5.21B","35.34 - 50.90"
"PRI","Primerica Inc","152.7","149.4","150.4","123,690","-1.8","","1.18","Finance","Life Insurance","18.1","1.04","4.91","0.92","3.09","2.42","411.75M","44.91M","6.83B","128.84 - 179.51"
"PRI-D","Priority Income Fund Inc [Prif/Pd]","25.56","25.56","25.56","410","-0.23","","0.89","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.00 - 26.44"
"PRI-F","Priority Income Fund Inc [Prif/Pf]","25.42","25.36","25.42","305","-0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.99 - 28.77"
"PRI-G","Priority Income Fund Inc [Prif/Pg]","25.46","25.46","25.46","200","-0.30","","1.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRI-H","Priority Income Fund Inc","25.29","25.25","25.29","600","0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRI-I","Priority Income Fd","25.25","25.20","25.24","3,927","0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRI-J","Priority Income Fund Inc","25.21","25.10","25.12","5,478","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRI-K","Priority Income Fund Inc","24.97","24.81","24.97","25,538","0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRLB","Proto Labs Inc","52.49","50.06","51.87","651,648","2.31","","4.66","","","50.81","2.12","1.72","N/A","5.74","7.55","85.30M","26.66M","1.32B","47.57 - 286.57"
"PRM","Perimeter Solutions Sa","11.87","11.31","11.55","598,381","-0.22","","1.87","Consumer Services","Newspapers/Magazines","15.04","1.34","0.472","3.94","N/A","1.39","68.00M","44.57M","524.59M","2.52 - 5.52"
"PRMW","Primo Water Corp","17.14","16.90","17.01","543,116","-0.01","","0.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.20 - 20.12"
"PRO","Pros Holdings","34.16","31.70","33.63","291,036","0.44","","1.33","Technology","EDP Services","N/A","N/A","N/A","N/A","N/A","4.95","N/A","31.79M","1.06B","23.08 - 51.83"
"PRP.S","CC Neuberger Principal Holdings III","10.040","10.000","10.000","6,124","-0.040","","0.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRP.T","CC Neuberger Principal Holdings III WT","1.180","1.110","1.150","682","-0.090","","7.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRP.U","CC Neuberger Principal Holdings II","10.25","10.20","10.20","21,808","0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.95 - 11.84"
"PRP.W","CC Neuberger Principal Holdings II WT","1.450","1.250","1.250","525,183","-0.070","","5.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.90 - 2.91"
"PRPB","CC Neuberger Principal Holdings II Cl A","9.910","9.870","9.890","3,327,321","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.71 - 11.37"
"PRPC","CC Neuberger Principal Holdings III Cl A","9.830","9.810","9.820","195,860","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"PRS","Prudential Financial Inc 5.625% Junior","26.60","26.45","26.54","20,569","0.04","","0.15","Finance","Investment Bankers/Brokers/Service","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.08 - 28.60"
"PRT","Permrock Royalty Trust Trust Units","7.020","6.900","6.920","18,561","-0.100","","1.42","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.52 - 8.00"
"PRTY","Party City Holdco Inc","5.870","5.490","5.560","1,619,749","-0.400","","6.71","","","12.14","0.83","0.97","N/A","1.35","0.61","364.88M","119.15M","710.13M","5.13 - 11.06"
"PRU","Prudential Financial Inc","106.5","104.7","105.1","1,625,907","-2.0","","1.83","Finance","Life Insurance","12.51","1.38","8.96","2.68","0.99","0.81","7.12B","426.98M","45.70B","74.58 - 115.52"
"PSA","Public Storage","357.3","347.2","355.2","809,081","7.2","","2.07","Consumer Services","Real Estate Investment Trusts","29.51","5.48","7.01","3.92","7.16","13.18","1.93B","174.00M","60.55B","212.22 - 344.98"
